2 petle w wywolywanej funkcji w algorytmie i 3 petle w samym algorytmie.

//////////////////////////////////////
Dla macierzy skladajacych sie z 0 i 1.
//////////////////////////////////////

F(n) = n*n*n+n*n

W = 0 	n: 165 	Czas: 0.0148340210 	Wspolczynnik: 304661156.94457
W = 0 	n: 170 	Czas: 0.0157095540 	Wspolczynnik: 314579268.13199
W = 0 	n: 175 	Czas: 0.0169913140 	Wspolczynnik: 317220904.75169
W = 0 	n: 180 	Czas: 0.0184153900 	Wspolczynnik: 318451034.70521
W = 0 	n: 185 	Czas: 0.0201176960 	Wspolczynnik: 316430370.55536
W = 0 	n: 190 	Czas: 0.0217566760 	Wspolczynnik: 316918816.09121
W = 0 	n: 195 	Czas: 0.0237059760 	Wspolczynnik: 314389080.62676
W = 0 	n: 200 	Czas: 0.0253770890 	Wspolczynnik: 316821208.29540

/////////////////////////////////////////
Dla macierzy skladajacych sie z samych 1.
/////////////////////////////////////////

F(n) = n*n*n+n*n

W = 25 		n: 5 	Czas: 0.0000083090 	Wspolczynnik: 18052713.92466
W = 100 	n: 10 	Czas: 0.0000194250 	Wspolczynnik: 56628056.62806
W = 225 	n: 15 	Czas: 0.0000653660 	Wspolczynnik: 55074503.56454
W = 400 	n: 20 	Czas: 0.0001533390 	Wspolczynnik: 54780584.19580
W = 625 	n: 25 	Czas: 0.0002799870 	Wspolczynnik: 58038408.92613
W = 900 	n: 30 	Czas: 0.0004057320 	Wspolczynnik: 68764603.23563
W = 1225 	n: 35 	Czas: 0.0005891560 	Wspolczynnik: 74852840.33431
W = 1600 	n: 40 	Czas: 0.0009027010 	Wspolczynnik: 72670795.75629
W = 2025 	n: 45 	Czas: 0.0009527650 	Wspolczynnik: 97768075.02375
W = 2500 	n: 50 	Czas: 0.0006215200 	Wspolczynnik: 205142231.94748
W = 3025 	n: 55 	Czas: 0.0007913650 	Wspolczynnik: 214060515.69124
W = 3600 	n: 60 	Czas: 0.0009986110 	Wspolczynnik: 219905448.66820
W = 4225 	n: 65 	Czas: 0.0010983990 	Wspolczynnik: 253869495.51119
W = 4900 	n: 70 	Czas: 0.0013512330 	Wspolczynnik: 257468549.09553
W = 5625 	n: 75 	Czas: 0.0015078360 	Wspolczynnik: 283518897.28061
W = 6400 	n: 80 	Czas: 0.0018117390 	Wspolczynnik: 286133929.88725
W = 7225 	n: 85 	Czas: 0.0021573870 	Wspolczynnik: 288010449.67824
W = 8100 	n: 90 	Czas: 0.0026481400 	Wspolczynnik: 278346310.99564
W = 9025 	n: 95 	Czas: 0.0032132710 	Wspolczynnik: 269631786.42573
W = 10000 	n: 100 	Czas: 0.0032808110 	Wspolczynnik: 307850711.30278
W = 11025 	n: 105 	Czas: 0.0041323460 	Wspolczynnik: 282805457.23906
W = 12100 	n: 110 	Czas: 0.0043007070 	Wspolczynnik: 312297489.69181
W = 13225 	n: 115 	Czas: 0.0053274680 	Wspolczynnik: 287960434.48783
W = 14400 	n: 120 	Czas: 0.0055752230 	Wspolczynnik: 312525615.56731
W = 15625 	n: 125 	Czas: 0.0062672410 	Wspolczynnik: 314133444.04659
W = 16900 	n: 130 	Czas: 0.0070665090 	Wspolczynnik: 313294725.86818
W = 18225 	n: 135 	Czas: 0.0082779550 	Wspolczynnik: 299421777.48007
W = 19600 	n: 140 	Czas: 0.0090822110 	Wspolczynnik: 304287138.89162
W = 21025 	n: 145 	Czas: 0.0101010890 	Wspolczynnik: 303892976.29196
W = 22500 	n: 150 	Czas: 0.0110801060 	Wspolczynnik: 306630640.53719
W = 24025 	n: 155 	Czas: 0.0160729870 	Wspolczynnik: 233180055.45578
W = 25600 	n: 160 	Czas: 0.0153656230 	Wspolczynnik: 268235137.61857
W = 27225 	n: 165 	Czas: 0.0155135200 	Wspolczynnik: 291316864.25776
W = 28900 	n: 170 	Czas: 0.0157005050 	Wspolczynnik: 314760576.17255
W = 30625 	n: 175 	Czas: 0.0170746780 	Wspolczynnik: 315672131.56231
W = 32400 	n: 180 	Czas: 0.0185279310 	Wspolczynnik: 316516722.77925
W = 34225 	n: 185 	Czas: 0.0202369830 	Wspolczynnik: 314565170.11454
W = 36100 	n: 190 	Czas: 0.0218089740 	Wspolczynnik: 316158843.60264
W = 38025 	n: 195 	Czas: 0.0236581070 	Wspolczynnik: 315025204.67931
W = 40000 	n: 200 	Czas: 0.0254635150 	Wspolczynnik: 315745881.90201
